asset,direction,setup,entry_time,exit_time,bars_held,entry_price,exit_price,gross_return_pct,net_return_pct,exit_reason
ETH/USDT,short,supertrend_short,2025-10-16T20:00:00+00:00,2025-10-21T12:00:00+00:00,28,3892.5627450000006,4086.84421859511,-0.04991094205087995,-0.012977735512719989,stop
ETH/USDT,short,supertrend_short,2025-10-29T00:00:00+00:00,2025-11-09T12:00:00+00:00,69,3995.66117,3554.3462590688537,0.11044853208390194,0.027112133020975485,stop
BTC/USDT,short,supertrend_short,2025-10-29T16:00:00+00:00,2025-11-09T20:00:00+00:00,67,110584.68000000001,105283.93347195782,0.04793382345585472,0.01148345586396368,stop
ETH/USDT,short,supertrend_short,2025-11-13T16:00:00+00:00,2025-11-24T20:00:00+00:00,67,3196.091155,2985.119453564615,0.06600928797207133,0.01600232199301783,stop
BTC/USDT,short,supertrend_short,2025-11-12T16:00:00+00:00,2025-11-26T16:00:00+00:00,84,101246.661345,90123.94892241582,0.10985757233696153,0.02696439308424038,stop
BTC/USDT,short,supertrend_short,2025-12-01T04:00:00+00:00,2025-12-02T12:00:00+00:00,8,86507.02485,88891.80002290504,-0.02756741636925034,-0.0073918540923125844,stop
ETH/USDT,short,supertrend_short,2025-12-01T04:00:00+00:00,2025-12-02T12:00:00+00:00,8,2838.7898950000003,2906.877319656339,-0.02398466500682626,-0.006496166251706565,stop
BTC/USDT,short,supertrend_short,2025-12-14T16:00:00+00:00,2025-12-17T12:00:00+00:00,17,88600.55756000002,89641.53366831996,-0.011749092071062818,-0.0034372730177657045,stop
ETH/USDT,short,supertrend_short,2025-12-12T16:00:00+00:00,2025-12-19T12:00:00+00:00,41,3072.20313,3014.318281986504,0.01884147810678641,0.004210369526696603,stop
BTC/USDT,short,supertrend_short,2025-12-24T08:00:00+00:00,2025-12-29T00:00:00+00:00,28,87160.33803000001,89358.79290026246,-0.025223110877630506,-0.006805777719407626,stop
ETH/USDT,short,supertrend_short,2025-12-26T00:00:00+00:00,2025-12-29T00:00:00+00:00,18,2963.4375400000004,3019.1502561490515,-0.018800030504118933,-0.005200007626029733,stop
BTC/USDT,short,supertrend_short,2025-12-29T12:00:00+00:00,2026-01-02T08:00:00+00:00,23,87647.77419,89719.18657827777,-0.023633371268361455,-0.006408342817090363,stop
BTC/USDT,long,supertrend,2026-01-13T16:00:00+00:00,2026-01-18T20:00:00+00:00,31,94273.95341999999,93685.20624061018,-0.00624506725380325,-0.0020612668134508128,stop
ETH/USDT,long,supertrend,2026-01-13T20:00:00+00:00,2026-01-19T00:00:00+00:00,31,3327.48291,3251.2302815438584,-0.02291600904304623,-0.006229002260761557,stop
BTC/USDT,short,supertrend_short,2026-01-29T16:00:00+00:00,2026-02-06T16:00:00+00:00,48,83970.10394500001,71124.09581695114,0.15298311571059786,0.037745778927649465,stop
ETH/USDT,short,supertrend_short,2026-02-15T20:00:00+00:00,2026-02-25T00:00:00+00:00,55,1965.59671,1935.3570772422634,0.015384454300260133,0.0033461135750650333,stop
BTC/USDT,short,supertrend_short,2026-02-18T12:00:00+00:00,2026-02-25T12:00:00+00:00,42,67660.16299499999,66347.50260388655,0.019400786711235803,0.00435019667780895,stop
BTC/USDT,short,supertrend_short,2026-02-28T08:00:00+00:00,2026-02-28T20:00:00+00:00,3,63812.2779,67574.13363230469,-0.058951911075794464,-0.015237977768948616,stop
ETH/USDT,short,supertrend_short,2026-02-27T20:00:00+00:00,2026-03-01T00:00:00+00:00,7,1928.87508,2014.2470812100532,-0.044259994903378196,-0.01156499872584455,stop
ETH/USDT,short,supertrend_short,2026-03-07T20:00:00+00:00,2026-03-09T16:00:00+00:00,11,1968.605205,2050.03179763852,-0.041362581197950186,-0.010840645299487547,stop
BTC/USDT,short,supertrend_short,2026-03-07T08:00:00+00:00,2026-03-10T00:00:00+00:00,16,67976.004995,69773.80823409348,-0.026447615437619795,-0.007111903859404949,stop
ETH/USDT,long,supertrend,2026-03-24T08:00:00+00:00,2026-03-26T12:00:00+00:00,13,2166.98295,2055.8114861979484,-0.05130241740113907,-0.013325604350284768,stop
BTC/USDT,short,supertrend_short,2026-03-27T12:00:00+00:00,2026-03-31T00:00:00+00:00,21,66079.76359000002,68434.51622830729,-0.0356350039766731,-0.009408750994168276,stop
